"ensembl_gene_id" "entrezgene_id"
"1" "ENSDARG00000097503" 793902
"2" "ENSDARG00000104512" NA
"3" "ENSDARG00000089622" NA
"4" "ENSDARG00000093926" 108179599
"5" "ENSDARG00000093957" 562682
"6" "ENSDARG00000096908" 794764
"7" "ENSDARG00000042370" 100002627
"8" "ENSDARG00000097746" 569583
"9" "ENSDARG00000078991" 100002956
"10" "ENSDARG00000101567" 393629
"11" "ENSDARG00000093686" 100034566
"12" "ENSDARG00000063341" 555997
"13" "ENSDARG00000102845" 100332814
"14" "ENSDARG00000090836" 101882796
"15" "ENSDARG00000036510" 321464
"16" "ENSDARG00000063150" NA
"17" "ENSDARG00000027088" 336492
"18" "ENSDARG00000039365" 334351
"19" "ENSDARG00000100083" 492489
"20" "ENSDARG00000092020" NA
"21" "ENSDARG00000087979" 101882239
"22" "ENSDARG00000058593" 393344
"23" "ENSDARG00000101917" NA
"24" "ENSDARG00000095756" NA
"25" "ENSDARG00000012016" 565975
"26" "ENSDARG00000020201" 393319
"27" "ENSDARG00000012892" 393553
"28" "ENSDARG00000068100" 100004683
"29" "ENSDARG00000101700" NA
"30" "ENSDARG00000089794" NA
"31" "ENSDARG00000057536" 553177
"32" "ENSDARG00000088699" 561279
"33" "ENSDARG00000086623" NA
"34" "ENSDARG00000054162" 561682
"35" "ENSDARG00000093469" 100329742
"36" "ENSDARG00000008788" 393802
"37" "ENSDARG00000007671" 560202
"38" "ENSDARG00000105628" NA
"39" "ENSDARG00000079187" 100538180
"40" "ENSDARG00000093671" NA
"41" "ENSDARG00000013174" 100500933
"42" "ENSDARG00000014806" 334121
"43" "ENSDARG00000105510" NA
"44" "ENSDARG00000097931" 100536168
"45" "ENSDARG00000078271" NA
"46" "ENSDARG00000030945" NA
"47" "ENSDARG00000028259" 323653
"48" "ENSDARG00000013203" NA
"49" "ENSDARG00000011196" 322953
"50" "ENSDARG00000097033" NA
"51" "ENSDARG00000011743" 563993
"52" "ENSDARG00000077717" 445040
"53" "ENSDARG00000043673" 563117
"54" "ENSDARG00000024116" 327007
"55" "ENSDARG00000058597" 321720
"56" "ENSDARG00000021899" 445022
"57" "ENSDARG00000103202" NA
"58" "ENSDARG00000077368" 402949
"59" "ENSDARG00000008380" 406675
"60" "ENSDARG00000044956" 569174
"61" "ENSDARG00000079632" 571834
"62" "ENSDARG00000092802" 101883797
"63" "ENSDARG00000022045" 797545
"64" "ENSDARG00000058231" 557972
"65" "ENSDARG00000004953" 360143
"66" "ENSDARG00000074552" 796997
"67" "ENSDARG00000038009" 798736
"68" "ENSDARG00000037429" 474335
"69" "ENSDARG00000044875" 569604
"70" "ENSDARG00000013251" 503739
"71" "ENSDARG00000009885" 558790
"72" "ENSDARG00000078954" 30530
"73" "ENSDARG00000027602" 393587
"74" "ENSDARG00000100594" 100331987
"75" "ENSDARG00000096666" NA
"76" "ENSDARG00000041203" 321681
"77" "ENSDARG00000103484" 797003
"78" "ENSDARG00000076213" 566115
"79" "ENSDARG00000056498" NA
"80" "ENSDARG00000005775" 58152
"81" "ENSDARG00000102705" 393194
"82" "ENSDARG00000015015" 436712
"83" "ENSDARG00000057460" 436681
"84" "ENSDARG00000007601" 564460
"85" "ENSDARG00000101083" 100004628
"86" "ENSDARG00000098237" 571786
"87" "ENSDARG00000044808" 561618
"88" "ENSDARG00000036994" 450056
"89" "ENSDARG00000073707" 558834
"90" "ENSDARG00000098937" NA
"91" "ENSDARG00000097332" NA
"92" "ENSDARG00000041429" 327593
"93" "ENSDARG00000063347" 102659286
"94" "ENSDARG00000021220" 394190
"95" "ENSDARG00000059855" 569257
"96" "ENSDARG00000055610" 100004870
"97" "ENSDARG00000040180" 100004536
"98" "ENSDARG00000096619" 100006104
"99" "ENSDARG00000097973" NA
"100" "ENSDARG00000095730" NA
"101" "ENSDARG00000057013" 692273
"102" "ENSDARG00000103130" NA
"103" "ENSDARG00000053344" NA
"104" "ENSDARG00000093448" 436671
"105" "ENSDARG00000092444" NA
"106" "ENSDARG00000045299" 793799
"107" "ENSDARG00000018066" 562268
"108" "ENSDARG00000088316" 101882887
"109" "ENSDARG00000099770" NA
"110" "ENSDARG00000099499" 406726
"111" "ENSDARG00000090624" NA
"112" "ENSDARG00000028088" 449829
"113" "ENSDARG00000009657" 335511
"114" "ENSDARG00000030335" 404630
"115" "ENSDARG00000096465" NA
"116" "ENSDARG00000019406" 393420
"117" "ENSDARG00000096472" NA
"118" "ENSDARG00000096156" NA
"119" "ENSDARG00000031283" 406707
"120" "ENSDARG00000077996" 100007192
"121" "ENSDARG00000040465" 494071
"122" "ENSDARG00000043912" 568897
"123" "ENSDARG00000069827" 100126132
"124" "ENSDARG00000017905" 140621
"125" "ENSDARG00000076160" NA
"126" "ENSDARG00000089645" 100536977
"127" "ENSDARG00000071457" 797437
"128" "ENSDARG00000088571" 558933
"129" "ENSDARG00000061194" 562999
"130" "ENSDARG00000042807" 567144
"131" "ENSDARG00000061864" 555414
"132" "ENSDARG00000094524" NA
"133" "ENSDARG00000076499" NA
"134" "ENSDARG00000023053" 561414
"135" "ENSDARG00000095946" 100538003
"136" "ENSDARG00000105068" 100334410
"137" "ENSDARG00000068515" 322468
"138" "ENSDARG00000102297" NA
"139" "ENSDARG00000056065" 555950
"140" "ENSDARG00000090889" 793246
"141" "ENSDARG00000031420" 30245
"142" "ENSDARG00000071037" 393618
"143" "ENSDARG00000095879" 393596
"144" "ENSDARG00000070127" 100333008
"145" "ENSDARG00000074056" 555637
"146" "ENSDARG00000063311" 100332515
"147" "ENSDARG00000033466" 259183
"148" "ENSDARG00000030156" 560126
"149" "ENSDARG00000038359" 558186
"150" "ENSDARG00000061187" 563396
"151" "ENSDARG00000039501" 797211
"152" "ENSDARG00000075456" 561737
"153" "ENSDARG00000035427" 394040
"154" "ENSDARG00000097245" NA
"155" "ENSDARG00000117163" NA
"156" "ENSDARG00000005616" 30489
"157" "ENSDARG00000062146" 563742
"158" "ENSDARG00000087835" 559644
"159" "ENSDARG00000056680" 544665
"160" "ENSDARG00000012341" 445107
"161" "ENSDARG00000053194" 405893
"162" "ENSDARG00000103883" NA
"163" "ENSDARG00000095704" NA
"164" "ENSDARG00000008457" 436973
"165" "ENSDARG00000097406" 793178
"166" "ENSDARG00000036215" 100004351
"167" "ENSDARG00000002508" 569518
"168" "ENSDARG00000102585" 100332943
"169" "ENSDARG00000096187" NA
"170" "ENSDARG00000105171" NA
"171" "ENSDARG00000025346" 393402
"172" "ENSDARG00000059354" 447841
"173" "ENSDARG00000070959" 567638
"174" "ENSDARG00000086425" 403072
"175" "ENSDARG00000090194" 100333504
"176" "ENSDARG00000094410" 100038795
"177" "ENSDARG00000062562" 559569
"178" "ENSDARG00000075556" 558606
"179" "ENSDARG00000033227" 567278
"180" "ENSDARG00000076014" 560003
"181" "ENSDARG00000026871" 325119
"182" "ENSDARG00000099304" NA
"183" "ENSDARG00000088885" 570991
"184" "ENSDARG00000023645" 791592
"185" "ENSDARG00000094425" NA
"186" "ENSDARG00000094886" 100006143
"187" "ENSDARG00000101009" 100006037
"188" "ENSDARG00000086327" 796574
"189" "ENSDARG00000103738" 100149761
"190" "ENSDARG00000016038" 393441
"191" "ENSDARG00000098876" NA
"192" "ENSDARG00000061120" 494042
"193" "ENSDARG00000002582" 246222
"194" "ENSDARG00000031930" NA
"195" "ENSDARG00000105500" NA
"196" "ENSDARG00000103941" NA
"197" "ENSDARG00000060008" 560376
"198" "ENSDARG00000044924" 406247
"199" "ENSDARG00000021163" 30607
"200" "ENSDARG00000071487" 767666
"201" "ENSDARG00000104882" NA
"202" "ENSDARG00000028066" 327577
"203" "ENSDARG00000005544" 563691
"204" "ENSDARG00000093833" 100151273
"205" "ENSDARG00000102061" 404633
"206" "ENSDARG00000030804" 445206
"207" "ENSDARG00000013252" 561497
"208" "ENSDARG00000062326" 567263
"209" "ENSDARG00000070868" 751706
"210" "ENSDARG00000092813" NA
"211" "ENSDARG00000053884" 100004024
"212" "ENSDARG00000112474" NA
"213" "ENSDARG00000069504" 100001799
"214" "ENSDARG00000025554" 393689
"215" "ENSDARG00000068792" NA
"216" "ENSDARG00000013492" 100004439
"217" "ENSDARG00000103118" 550376
"218" "ENSDARG00000092267" NA
"219" "ENSDARG00000079727" 791479
"220" "ENSDARG00000070487" 378742
"221" "ENSDARG00000105631" 101886622
"222" "ENSDARG00000069826" 436855
"223" "ENSDARG00000073948" 100126018
"224" "ENSDARG00000062965" 556203
"225" "ENSDARG00000040321" 30473
"226" "ENSDARG00000005462" 393796
"227" "ENSDARG00000096528" 792701
"228" "ENSDARG00000070467" 567200
"229" "ENSDARG00000035821" 553317
"230" "ENSDARG00000039959" 79379
"231" "ENSDARG00000096256" NA
"232" "ENSDARG00000039123" 336099
"233" "ENSDARG00000075156" 321065
"234" "ENSDARG00000022160" 558875
"235" "ENSDARG00000037473" 798792
"236" "ENSDARG00000088867" NA
"237" "ENSDARG00000007169" 641420
"238" "ENSDARG00000041431" 558299
"239" "ENSDARG00000074617" 556580
"240" "ENSDARG00000037537" 553650
"241" "ENSDARG00000061644" 100317933
"242" "ENSDARG00000035648" 402999
"243" "ENSDARG00000096435" NA
"244" "ENSDARG00000078592" 446115
"245" "ENSDARG00000045567" 445172
"246" "ENSDARG00000055837" 557983
"247" "ENSDARG00000104854" 100004682
"248" "ENSDARG00000044298" 445490
"249" "ENSDARG00000040254" 436630
"250" "ENSDARG00000093755" NA
"251" "ENSDARG00000008678" 563511
"252" "ENSDARG00000103471" 799713
"253" "ENSDARG00000035507" 325248
"254" "ENSDARG00000068716" 768297
"255" "ENSDARG00000042520" 553498
"256" "ENSDARG00000101300" 561124
"257" "ENSDARG00000073870" 563198
"258" "ENSDARG00000105582" NA
"259" "ENSDARG00000105269" NA
"260" "ENSDARG00000087032" 324358
"261" "ENSDARG00000091799" 101884201
"262" "ENSDARG00000058022" 677753
"263" "ENSDARG00000038863" 550474
"264" "ENSDARG00000095199" NA
"265" "ENSDARG00000070013" 558970
"266" "ENSDARG00000035540" 553209
"267" "ENSDARG00000091954" 100034634
"268" "ENSDARG00000012987" 246094
"269" "ENSDARG00000097536" NA
"270" "ENSDARG00000056757" NA
"271" "ENSDARG00000062111" 100149732
"272" "ENSDARG00000023479" 562438
