id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000076321,1277.957218,-2.285653638,7.74E-105,1.58E-100
ENSDARG00000088959,353.410552,-2.441503082,4.81E-66,4.90E-62
ENSDARG00000083989,283.8178867,-2.510858541,9.64E-47,6.55E-43
ENSDARG00000092870,1309.622953,-1.327393716,6.15E-33,3.13E-29
ENSDARG00000040959,273.6234835,-1.361713347,4.10E-29,1.67E-25
ENSDARG00000004402,2587.98328,-1.592959456,7.64E-26,2.59E-22
ENSDARG00000083337,171.0919036,-1.476962346,3.45E-22,1.00E-18
ENSDARG00000069936,948.4091479,1.062805893,1.28E-20,3.25E-17
ENSDARG00000018621,317.2613857,1.823224078,7.34E-18,1.66E-14
ENSDARG00000093534,32.3870707,-1.866386769,2.02E-16,NA
ENSDARG00000084584,27.85882969,-1.817758205,9.23E-16,NA
ENSDARG00000058414,514.2449122,-1.356083312,1.14E-15,2.32E-12
ENSDARG00000088913,150.6055787,-1.237398215,6.37E-14,1.09E-10
ENSDARG00000079226,2033.17424,0.647157134,6.40E-14,1.09E-10
ENSDARG00000002917,466.864964,0.929004869,8.59E-14,1.35E-10
ENSDARG00000041083,2463.851511,0.6674409,9.80E-14,1.43E-10
ENSDARG00000005565,588.5045308,1.20963423,1.55E-13,2.11E-10
ENSDARG00000069942,1403.606338,-0.496706451,3.51E-13,4.47E-10
ENSDARG00000054048,171.6884822,-1.623922003,3.91E-13,4.55E-10
ENSDARG00000005161,3147.850587,-0.906413792,4.02E-13,4.55E-10
ENSDARG00000078579,1229.704361,0.805698599,1.24E-12,1.33E-09
ENSDARG00000013721,12017.91706,0.815562146,1.76E-12,1.80E-09
ENSDARG00000056087,2907.109174,-0.563101913,2.32E-12,2.25E-09
ENSDARG00000032640,668.0980367,0.825561223,4.11E-12,3.81E-09
ENSDARG00000074142,1004.492383,1.024197217,7.88E-12,6.98E-09
ENSDARG00000079784,3094.375439,0.909026579,1.15E-11,9.77E-09
ENSDARG00000062148,2539.026,-0.66667132,1.65E-11,1.35E-08
ENSDARG00000076829,12893.48886,0.402415209,1.84E-11,1.45E-08
ENSDARG00000053467,2261.631508,0.464017671,2.01E-11,1.52E-08
ENSDARG00000038199,208.301279,1.296510765,3.95E-11,2.88E-08
ENSDARG00000070057,1201.105587,0.798008876,5.14E-11,3.61E-08
ENSDARG00000057113,2311.701593,0.550117909,1.60E-10,1.09E-07
ENSDARG00000034273,8778.612364,0.544530229,1.77E-10,1.16E-07
ENSDARG00000044528,3319.26522,1.15249744,2.84E-10,1.81E-07
ENSDARG00000020007,336554.1209,-0.382678704,3.26E-10,2.01E-07
ENSDARG00000061242,5243.598482,0.37454548,4.92E-10,2.95E-07
ENSDARG00000053853,3975.768878,1.239677983,5.90E-10,3.44E-07
ENSDARG00000069978,706.6532045,0.822334581,6.16E-10,3.49E-07
ENSDARG00000012405,438269.8536,-0.416260274,6.51E-10,3.56E-07
ENSDARG00000079508,1795.764168,0.399121353,6.64E-10,3.56E-07
ENSDARG00000025338,1899.457334,0.606385288,1.15E-09,5.95E-07
ENSDARG00000012881,14078.44643,0.754975525,1.17E-09,5.95E-07
ENSDARG00000071429,4866.406683,0.595093688,1.47E-09,7.30E-07
ENSDARG00000087495,499.502298,0.747496011,1.55E-09,7.51E-07
ENSDARG00000068515,4419.330917,0.666679341,1.91E-09,9.03E-07
ENSDARG00000074188,7212.272722,0.630679032,3.06E-09,1.42E-06
ENSDARG00000055837,9156.215847,1.05497014,3.21E-09,1.45E-06
ENSDARG00000073876,364.6533427,1.296745658,4.22E-09,1.87E-06
ENSDARG00000074120,431.1770684,0.70067922,4.66E-09,2.02E-06
ENSDARG00000088794,113.2446332,-0.926233497,5.36E-09,2.27E-06
ENSDARG00000008035,487.4356995,0.825714103,7.33E-09,3.05E-06
ENSDARG00000016918,4897.56077,1.063493158,7.62E-09,3.10E-06
ENSDARG00000053973,65677.08601,0.528940515,8.05E-09,3.22E-06
ENSDARG00000075014,2496.599333,0.521988666,9.42E-09,3.69E-06
ENSDARG00000069453,294.6097228,0.935163083,9.67E-09,3.72E-06
ENSDARG00000011373,547.21533,0.74889694,9.93E-09,3.75E-06
ENSDARG00000017882,1893.636258,0.647836595,1.04E-08,3.84E-06
ENSDARG00000041169,4338.569657,0.484066277,1.16E-08,4.18E-06
ENSDARG00000043806,16623.37805,-0.889830713,1.17E-08,4.18E-06
ENSDARG00000086374,141.6221645,1.124704095,1.20E-08,4.21E-06
ENSDARG00000070157,3258.775775,-0.671380116,1.45E-08,5.02E-06
ENSDARG00000092521,111.4077257,-0.95675278,1.77E-08,6.00E-06
ENSDARG00000095590,2999.026936,-1.043864895,1.84E-08,6.10E-06
ENSDARG00000078619,8202.190995,0.800748464,1.86E-08,6.10E-06
ENSDARG00000095963,1201.037983,0.631449597,2.06E-08,6.65E-06
ENSDARG00000089075,2192.688868,-0.657793546,2.47E-08,7.86E-06
ENSDARG00000057652,200.0576701,0.823254348,2.62E-08,8.12E-06
ENSDARG00000068096,1274.072395,0.656970113,2.63E-08,8.12E-06
ENSDARG00000007477,963.4986175,0.642204288,2.74E-08,8.33E-06
ENSDARG00000058353,165.6754935,0.999153302,3.13E-08,9.38E-06
ENSDARG00000071012,173.5953576,0.975802632,3.20E-08,9.44E-06
ENSDARG00000039513,243.518835,-0.648542335,3.24E-08,9.44E-06
ENSDARG00000075168,12394.19963,0.923715968,3.60E-08,1.03E-05
ENSDARG00000094543,494.2302399,-0.694084957,3.73E-08,1.05E-05
ENSDARG00000020926,3439.674764,0.584375012,3.75E-08,1.05E-05
ENSDARG00000091560,718.4921449,1.243237348,3.84E-08,1.06E-05
ENSDARG00000068194,672.3828457,0.981157816,5.44E-08,1.48E-05
ENSDARG00000003615,898.5747512,0.900536228,5.72E-08,1.53E-05
ENSDARG00000008915,1707.419456,-0.613498172,6.13E-08,1.62E-05
ENSDARG00000090937,694.1101041,-0.817298134,7.06E-08,1.84E-05
ENSDARG00000009194,23954.69385,-0.266808627,8.17E-08,2.11E-05
ENSDARG00000094265,234.3503966,-0.807886426,8.35E-08,2.13E-05
ENSDARG00000090186,2271.431735,0.500452999,1.07E-07,2.69E-05
ENSDARG00000074210,262.3842626,1.207699269,1.13E-07,2.79E-05
ENSDARG00000070857,3246.81425,-0.682185133,1.13E-07,2.79E-05
ENSDARG00000090903,317.4277507,0.981086293,1.33E-07,3.22E-05
ENSDARG00000095939,678.2679402,1.057315743,1.38E-07,3.30E-05
ENSDARG00000025465,799.4214381,-0.446691625,1.70E-07,4.03E-05
ENSDARG00000094696,1045.553018,0.722829594,2.13E-07,4.99E-05
ENSDARG00000036809,3141.297902,-0.359547427,2.28E-07,5.28E-05
ENSDARG00000038428,3181.820383,-0.37230321,2.43E-07,5.57E-05
