id,Gene,baseMean,log2FoldChange,pvalue,padj,Biotype,Orthologous_human_gene
ENSDARG00000076321,si:dkey-211m23.2,1277.957218,-2.285653638,7.74E-105,1.58E-100,protein_coding,COL28A1
ENSDARG00000088959,pdxka,353.410552,-2.441503082,4.81E-66,4.90E-62,protein_coding,PDXK
ENSDARG00000083989,5S_rRNA,283.8178867,-2.510858541,9.64E-47,6.55E-43,rRNA,NA
ENSDARG00000092870,si:dkey-100n23.4,1309.622953,-1.327393716,6.15E-33,3.13E-29,protein_coding,NA
ENSDARG00000040959,rabl3,273.6234835,-1.361713347,4.10E-29,1.67E-25,protein_coding,RABL3
ENSDARG00000004402,elovl6,2587.98328,-1.592959456,7.64E-26,2.59E-22,protein_coding,ELOVL6
ENSDARG00000083337,RNase_MRP,171.0919036,-1.476962346,3.45E-22,1.00E-18,misc_RNA,NA
ENSDARG00000069936,si:dkey-281i8.1,948.4091479,1.062805893,1.28E-20,3.25E-17,protein_coding,NA
ENSDARG00000018621,slc6a19a,317.2613857,1.823224078,7.34E-18,1.66E-14,protein_coding,SLC6A19
ENSDARG00000093534,si:dkey-258f14.4,32.3870707,-1.866386769,2.02E-16,NA,protein_coding,NA
ENSDARG00000084584,5S_rRNA,27.85882969,-1.817758205,9.23E-16,NA,rRNA,NA
ENSDARG00000058414,si:ch1073-504d15.2,514.2449122,-1.356083312,1.14E-15,2.32E-12,protein_coding,BGLAP
ENSDARG00000088913,MYOZ3 (1 of 2),150.6055787,-1.237398215,6.37E-14,1.09E-10,protein_coding,MYOZ3
ENSDARG00000079226,CABZ01073641.1,2033.17424,0.647157134,6.40E-14,1.09E-10,protein_coding,NA
ENSDARG00000002917,GLS2 (2 of 2),466.864964,0.929004869,8.59E-14,1.35E-10,protein_coding,GLS2
ENSDARG00000041083,anpepa,2463.851511,0.6674409,9.80E-14,1.43E-10,protein_coding,ANPEP
ENSDARG00000005565,entpd8,588.5045308,1.20963423,1.55E-13,2.11E-10,protein_coding,ENTPD8
ENSDARG00000069942,ndufv3,1403.606338,-0.496706451,3.51E-13,4.47E-10,protein_coding,NDUFV3
ENSDARG00000054048,plin1,171.6884822,-1.623922003,3.91E-13,4.55E-10,protein_coding,PLIN1
ENSDARG00000005161,gpib,3147.850587,-0.906413792,4.02E-13,4.55E-10,protein_coding,GPI
ENSDARG00000078579,zgc:175280,1229.704361,0.805698599,1.24E-12,1.33E-09,protein_coding,SLC7A2
ENSDARG00000013721,g6pca.2,12017.91706,0.815562146,1.76E-12,1.80E-09,protein_coding,G6PC
ENSDARG00000056087,C9H2orf40 (1 of 2),2907.109174,-0.563101913,2.32E-12,2.25E-09,protein_coding,C2orf40
ENSDARG00000032640,PDXK (2 of 3),668.0980367,0.825561223,4.11E-12,3.81E-09,protein_coding,PDXK
ENSDARG00000074142,MUC2 (1 of 2),1004.492383,1.024197217,7.88E-12,6.98E-09,protein_coding,MUC2
ENSDARG00000079784,TMEM71,3094.375439,0.909026579,1.15E-11,9.77E-09,protein_coding,TMEM71
ENSDARG00000062148,SENP7 (2 of 2),2539.026,-0.66667132,1.65E-11,1.35E-08,protein_coding,SENP7
ENSDARG00000076829,bx248082.1,12893.48886,0.402415209,1.84E-11,1.45E-08,protein_coding,ANKIB1
ENSDARG00000053467,gtpbp1,2261.631508,0.464017671,2.01E-11,1.52E-08,protein_coding,GTPBP1
ENSDARG00000038199,cda,208.301279,1.296510765,3.95E-11,2.88E-08,protein_coding,CDA
ENSDARG00000070057,si:dkey-69o16.5,1201.105587,0.798008876,5.14E-11,3.61E-08,protein_coding,NA
